playlist_name,description,public,num_tracks,user_song_uri,user_song_position
Indie Americana 2025,The best new indie Americana tracks featuring emerging artists and established favorites,true,30,,
Americana Road Trip Mix,Perfect Americana soundtrack for your next road trip - upbeat and road-ready,true,35,,
Singer-Songwriter Essentials,Essential tracks from the best singer-songwriters in Americana and indie folk,true,40,,
Acoustic Americana Sessions,Intimate acoustic performances from top Americana artists,true,25,,
Modern Country & Americana,Where modern country meets Americana - the best of both worlds,true,30,,
Folk Rock Favorites,Classic and contemporary folk rock tracks that blend storytelling with rock energy,true,35,,
Sunday Morning Coffee,Mellow Americana and folk perfect for your Sunday morning coffee ritual,true,25,,
Campfire Songs Collection,Acoustic Americana songs perfect for singing around the campfire,true,30,,
Alt-Country Deep Cuts,Hidden gems and deep cuts from the alt-country and Americana scene,true,40,,
Americana Work From Home,Background Americana music to keep you focused and productive,true,30,,
Roots Rock Revival,Modern artists carrying on the roots rock tradition with fresh energy,true,35,,
Indie Folk Discoveries,Discover new indie folk and Americana artists you need to know,true,30,,
Americana Storytellers,Songs that tell stories - the best narrative-driven Americana tracks,true,35,,
Evening Chill Americana,Relaxing Americana vibes for your evening wind-down,true,25,,
Texas Americana Scene,The best of the Texas Americana and alt-country scene,true,30,,
Nashville Americana,Americana artists making waves in Nashville and beyond,true,30,,
Appalachian Americana,Roots music with Appalachian influences - traditional meets modern,true,35,,
Americana New Releases,Fresh Americana releases from established and emerging artists,true,30,,
Soulful Country & Americana,Country and Americana with soul - powerful vocals and emotional depth,true,35,,
Americana Essentials,The essential Americana tracks every fan should know,true,40,,
